field,content
"Buttered popcorn, United States",Corn – the workhorse of the industrial world – is best when its sweet variety is fried up with lashings of butter till it bursts and then snarfed in greasy fistfuls while watching Netflix late at night.
"Masala dosa, India","A crispy, rice-batter crepe encases a spicy mix of mashed potato, which is then dipped in coconut chutney, pickles, tomato-and-lentil-based sauces and other condiments. It’s a fantastic breakfast food that’ll keep you going till lunch, when you’ll probably come back for another."
"Seafood paella, Spain","The sea is lapping just by your feet, a warm breeze whips the tablecloth around your legs and a steamy pan of paella sits in front of you. Shrimp, lobster, mussels and cuttlefish combine with white rice and various herbs, oil and salt in this Valencian dish to send you immediately into holiday mode. Though if you have it in Spain, you’re probably there already."
"Som tam, Thailand","To prepare Thailand’s most famous salad, pound garlic and chilies with a mortar and pestle. Toss in tamarind juice, fish sauce, peanuts, dried shrimp, tomatoes, lime juice, sugar cane paste, string beans and a handful of grated green papaya. Grab a side of sticky rice. Variations include those made with crab (som tam boo) and fermented fish sauce (som tam plah lah), but none matches the flavor and simple beauty of the original."
"Chicken rice, Singapore","Often called the “national dish” of Singapore, this steamed or boiled chicken is served atop fragrant oily rice, with sliced cucumber as the token vegetable. Variants include roasted chicken or soy sauce chicken. However it’s prepared, it’s one of Singapore’s best foods. The dipping sauces – premium dark soy sauce, chili with garlic and pounded ginger – give it that little extra oomph to ensure whenever you’re not actually in Singapore eating chicken rice, you’re thinking of it."
"Poutine, Canada","French fries smothered in cheese curds and brown gravy. Sounds kind of disgusting, looks even worse, but engulfs the mouth in a saucy, cheesy, fried-potato mix that’ll have you fighting over the last dollop. Our Canadian friends insist it’s best enjoyed at 3 a.m. after “several” beers."
"Tacos, Mexico","A fresh, handmade tortilla stuffed with small chunks of grilled beef rubbed in oil and sea salt then covered with guacamole, salsa, onions, cilantro or anything else you want – perfect for breakfast, lunch or dinner. This is the reason no visitor leaves Mexico weighing less than when they arrived."
"Buttered toast with Marmite, UK","OK, anything buttered is probably going to taste great, but there’s something about this tangy, salty, sour, love-it-or-hate-it yeast extract that turns a piece of grilled bread into a reason to go on living. For extra yum (or yuck) factor, add a layer of marmalade."
"Stinky tofu, Southeast Asia","Nothing really prepares you for the stench of one of the strangest dishes on Earth. Like durian, smelly tofu is one of Southeast Asia’s most iconic foods. The odor of fermenting tofu is so overpowering many aren’t able to shake off the memory for months. So is the legendarily divine taste really worth the effort? Sure it is."
"Marzipan, Germany","Don’t be fooled by cheap imitations, which use soy paste or almond essence. The real stuff, which uses nothing but ground almonds with sugar, is so good, you’ll eat a whole bar of it, feel sick, and still find yourself toying with the wrapper on bar number two."
"Ketchup, United States","If Malcolm Gladwell says it’s a perfect food, then it’s a perfect food. Let’s face it, anything that can convince 2-year-olds to eat their carrots rather than spitting them onto the floor is worthy of not just a “delicious” title, but a “miracle of persuasion” title, too."
"French toast, Hong Kong","Unlike its more restrained Sunday brunch counterpart, Hong Kong-style French toast is like a deep-fried hug. Two pieces of toast are slathered with peanut butter or kaya jam, soaked in egg batter, fried in butter and served with still more butter and lots of syrup. A Hong Kong best food, best enjoyed before cholesterol checks."
"Chicken parm, Australia","Melted Parmesan and mozzarella cheese, and a peppery, garlicky tomato sauce drizzled over the top of a chicken fillet – Aussie pub-goers claim this ostensibly Italian dish as their own. Since they make it so well, there’s no point in arguing."
"Hummus, Middle East","This humble Middle Eastern spread, made with chickpeas, garlic, lemon juice and tahini has become a fridge staple all around the world. This tangy treat tastes good as a dip, with breads, with meats, with vegetables, beans or – hear us out – on a Marmite rice cake."
"Chili crab, Singapore","You can’t visit Singapore without trying its spicy, sloppy, meaty specialty. While there are dozens of ways to prepare crab (with black pepper, salted egg yolk, cheese-baked, et cetera) chili crab remains the local bestseller. Spicy chili-tomato gravy tends to splatter, which is why you need to mop everything up with mini mantou buns."
"Maple syrup, Canada","Ever tried eating a pancake without maple syrup? It’s like eating a slice of cardboard. Poorly prepared cardboard. In fact, Canada’s gift to parents everywhere – throw some maple syrup on the kid’s broccoli and see what happens – makes just about anything worth trying. Pass the cardboard, please."
"Fish ‘n’ chips, United Kingdom","Anything that’s been around since the 1860s can’t be doing much wrong. The staple of the Victorian British working class is a crunchy-outside, soft-inside dish of simple, un-adorned fundamentals."
